no,no,ez
not,no,ez
none,ninguno,bat ere ez
nobody,nadie,inor ez
nothing,ninguna cosa,ezer ez
neither,ninguno,ezta ere
nowhere,en ningún lugar,inon ez
never,nunca,inoiz ez
hardly,difícilmente,nekez
scarcely,apenas,ia ez
barely,apenas,ozta-ozta
doesn't,no,ez du
isn't,no es,ez da
Wasn't,no era,Ez zen
shouldn't,no debería,ez luke
wouldn't,no lo haría,ez luke
couldn't,no podría,ezin
won't,no lo haré,ez du egingo
can't,hipocresía,ezin
don't,no,ez
doesnt,no,ez du
isnt,no es,ez da
wasnt,no era,ez zen
shouldnt,no debería,ez luke
wouldnt,no quisiera,ez luke
couldnt,no pude,ezin
wont,no,ez
cant,hipocresía,ezin
dont,no,ez
no,no,ez
not,no,ez
none,ninguno,bat ere ez
nobody,nadie,inor ez
nothing,ninguna cosa,ezer ez
neither,ninguno,ezta ere
nowhere,en ningún lugar,inon ez
never,nunca,inoiz ez
hardly,difícilmente,nekez
scarcely,apenas,ia ez
barely,apenas,ozta-ozta
doesn't,no,ez du
isn't,no es,ez da
wasn't,no era,ez zen
shouldn't,no debería,ez luke
wouldn't,no lo haría,ez luke
couldn't,no podría,ezin
won't,no lo haré,ez du egingo
can't,hipocresía,ezin
don't,no,ez
doesnt,no,ez du
isnt,no es,ez da
wasnt,no era,ez zen
shouldnt,no debería,ez luke
wouldnt,no quisiera,ez luke
couldnt,no pude,ezin
wont,no,ez
cant,hipocresía,ezin
dont,no,ez
